Unnamed: 0,Dataset,Model,Language,total_samples,total_prompts,total_compilable,total_vulnerable,total_compilable_prompts,total_vulnerable_prompts,total_good_suggestions,total_good_prompts,percentage_compilable,percentage_vulnerable,percentage_good_suggestions,percentage_compilable_prompts,percentage_vulnerable_prompts,percentage_good_prompts
aiXcoder_prompt_PolyCoder-160M_128_10.jsonl,aiXcoder_prompt,PolyCoder-160M,Java,100,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_PolyCoder-160M_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-160M,Java,60,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_java_PolyCoder-160M_128_10.jsonl,HumanEval_java,PolyCoder-160M,Java,130,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalJava_gpt3.5_512_10.jsonl,SOEvalJava,gpt3.5,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SecurityEval_python_gpt3.5_512_10.jsonl,SecurityEval_python,gpt3.5,Python,150,15,150,50,15,5,100,10,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666
CoderEval4Python_prompt_codegen-350M-mono_128_10.jsonl,CoderEval4Python_prompt,codegen-350M-mono,Python,10,1,3,0,1,0,3,1,0.3,0.0,0.3,1.0,0.0,1.0
SecurityEval_python_PolyCoder-0.4B_128_10.jsonl,SecurityEval_python,PolyCoder-0.4B,Python,70,7,36,30,7,7,6,5,0.5142857142857142,0.4285714285714285,0.0857142857142857,1.0,1.0,0.7142857142857143
SOEvalPython_PolyCoder-0.4B_128_10.jsonl,SOEvalPython,PolyCoder-0.4B,Python,10,1,4,4,1,1,0,0,0.4,0.4,0.0,1.0,1.0,0.0
SecurityEval_python_codegen-350M-mono_128_10.jsonl,SecurityEval_python,codegen-350M-mono,Python,160,16,119,98,16,14,21,6,0.74375,0.6125,0.13125,1.0,0.875,0.375
aiXcoder_prompt_PolyCoder-2.7B_128_10.jsonl,aiXcoder_prompt,PolyCoder-2.7B,Java,140,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SecurityEval_python_codegen-350M-multi_128_10.jsonl,SecurityEval_python,codegen-350M-multi,Python,80,8,76,56,8,6,20,4,0.95,0.7,0.25,1.0,0.75,0.5
HumanEval_java_PolyCoder-0.4B_128_10.jsonl,HumanEval_java,PolyCoder-0.4B,Java,50,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval_java_gpt3.5_512_10.jsonl,HumanEval_java,gpt3.5,Java,30,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOEvalJava_incoder-1B_128_10.jsonl,SOEvalJava,incoder-1B,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_gpt3.5_512_10.jsonl,CoderEval4Java_prompt,gpt3.5,Java,60,6,59,36,6,4,23,3,0.9833333333333332,0.6,0.3833333333333333,1.0,0.6666666666666666,0.5
CoderEval4Java_prompt_PolyCoder-2.7B_128_10.jsonl,CoderEval4Java_prompt,PolyCoder-2.7B,Java,70,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Python_prompt_codeparrot-small_128_10.jsonl,CoderEval4Python_prompt,codeparrot-small,Python,10,1,3,0,1,0,3,1,0.3,0.0,0.3,1.0,0.0,1.0
SOEvalPython_codegen-2B-mono_128_10.jsonl,SOEvalPython,codegen-2B-mono,Python,20,2,15,14,2,2,1,1,0.75,0.7,0.05,1.0,1.0,0.5
SOEvalPython_codegen-350M-multi_128_10.jsonl,SOEvalPython,codegen-350M-multi,Python,20,2,20,19,2,2,1,1,1.0,0.95,0.05,1.0,1.0,0.5
CoderEval4Java_prompt_incoder-1B_128_10.jsonl,CoderEval4Java_prompt,incoder-1B,Java,40,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
aiXcoder_prompt_codegen-2B-multi_128_10.jsonl,aiXcoder_prompt,codegen-2B-multi,Java,120,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_codegen-2B-multi_128_10.jsonl,CoderEval4Java_prompt,codegen-2B-multi,Java,60,6,2,1,1,1,1,1,0.0333333333333333,0.0166666666666666,0.0166666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666
SecurityEval_python_codeparrot_128_10.jsonl,SecurityEval_python,codeparrot,Python,120,12,105,81,12,11,24,8,0.875,0.675,0.2,1.0,0.9166666666666666,0.6666666666666666
aiXcoder_prompt_codegen-350M-multi_128_10.jsonl,aiXcoder_prompt,codegen-350M-multi,Java,130,13,1,0,1,0,1,1,0.0076923076923076,0.0,0.0076923076923076,0.0769230769230769,0.0,0.0769230769230769
HumanEval_java_codegen-350M-multi_128_10.jsonl,HumanEval_java,codegen-350M-multi,Java,210,21,1,0,1,0,1,1,0.0047619047619047,0.0,0.0047619047619047,0.0476190476190476,0.0,0.0476190476190476
SOEvalJava_PolyCoder-2.7B_128_10.jsonl,SOEvalJava,PolyCoder-2.7B,Java,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CoderEval4Java_prompt_codegen-350M-multi_128_10.jsonl,CoderEval4Java_prompt,codegen-350M-multi,Java,80,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SecurityEval_python_PolyCoder-160M_128_10.jsonl,SecurityEval_python,PolyCoder-160M,Python,60,6,37,24,6,5,13,4,0.6166666666666667,0.4,0.2166666666666666,1.0,0.8333333333333334,0.6666666666666666
